country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
Afghanistan,32.2999992370606,32.0999984741211,31.7999992370606,31.5,31.2000007629394,30.8999996185303,30.7000007629394,30.5,30.2000007629394,30,29.6000003814697,29.2999992370606,29,28.7000007629394,28.3999996185303,28.2000007629394,28,27.7999992370605,27.7000007629395,27.6000003814697,27.6000003814697,27.6000003814697,27.7999992370605,28,28.2999992370606,28.6000003814697,28.8999996185303,28.6000003814697,
Albania,81,80.9000015258789,80.8000030517578,80.5999984741211,80.5,80.5,80.4000015258789,80.6999969482422,81,80.5,81.3000030517578,61.9000015258789,61.5,62.2000007629394,63,63.5999984741211,64.3000030517578,63.7000007629394,64.5999984741211,65.3000030517578,65.6999969482422,66,66.0999984741211,66.3000030517578,66.5,66.6999969482422,66.6999969482422,67.4000015258789,
Algeria,20.2999992370605,20.5,20.6000003814697,20.7999992370605,20.8999996185303,21.1000003814697,22,22.8999996185303,23.8999996185303,24.8999996185303,25.8999996185303,27,28.1000003814697,29.2000007629394,30.2999992370606,31.5,32.7000007629394,33.5999984741211,34.9000015258789,36.0999984741211,37.2000007629394,38.2000007629394,39.2000007629394,40.2999992370606,41.2000007629394,42.0999984741211,42.9000015258789,44.5999984741211,
Angola,77.5,77.5999984741211,77.8000030517578,77.9000015258789,78.0999984741211,78.1999969482422,78.1999969482422,78.4000015258789,79.5999984741211,79.3000030517578,79.4000015258789,78.9000015258789,80.3000030517578,77.6999969482422,79.6999969482422,76.8000030517578,77,76.9000015258789,77.5999984741211,78.3000030517578,77.9000015258789,77.9000015258789,78.5999984741211,78.4000015258789,79,79.6999969482422,80.8000030517578,81.3000030517578,
Argentina,33.5,32.5,31.7000007629394,31.2000007629394,33.0999984741211,35,35.2000007629394,35.4000015258789,36,36.5,36.9000015258789,52.2000007629394,52.7000007629394,53.0999984741211,53.5999984741211,54,55.2999992370606,56.5,57.7999992370606,59,60.2000007629394,61.5,62.7000007629394,63.7999992370606,65,66.0999984741211,67.3000030517578,67.5,
Armenia,88.6999969482422,88.5999984741211,88.6999969482422,88.8000030517578,88.8000030517578,88.6999969482422,88.9000015258789,89,88.6999969482422,88.9000015258789,89.1999969482422,78.8000030517578,77.1999969482422,76.4000015258789,76.5999984741211,77.5999984741211,78.0999984741211,78.3000030517578,79,79.1999969482422,79.5,79.9000015258789,80.3000030517578,80.5999984741211,80.8000030517578,81,81.0999984741211,81.5999984741211,
Australia,53,53.7000007629394,54,53.9000015258789,55.2999992370606,57.2000007629394,60.4000015258789,61.5,63.2999992370606,65.1999969482422,66.8000030517578,67.0999984741211,67.3000030517578,67.3000030517578,67.6999969482422,69.0999984741211,69,69.4000015258789,69.5,69.5,70.5999984741211,71.1999969482422,71.5999984741211,72.5,72,73.8000030517578,74.4000015258789,74.4000015258789,
Austria,56.0999984741211,56.7000007629394,57.2000007629394,57.2999992370606,58.5999984741211,59.0999984741211,59.7999992370606,60.5999984741211,61.5,62.2999992370606,64,65,67.0999984741211,69,71.8000030517578,73.0999984741211,73.0999984741211,74,74.4000015258789,75.5999984741211,76.3000030517578,77.0999984741211,79,80,79.5999984741211,79.9000015258789,80.9000015258789,81.9000015258789,
Azerbaijan,88.3000030517578,88.0999984741211,88.0999984741211,87.9000015258789,87.8000030517578,87.5999984741211,87.8000030517578,88,87.6999969482422,88,88.3000030517578,79.5,78.9000015258789,78.5,77.4000015258789,76.6999969482422,77,77.5,78.3000030517578,78.9000015258789,79.8000030517578,80.3000030517578,80.6999969482422,81,81.3000030517578,81.9000015258789,82.1999969482422,82.6999969482422,
Bahamas,70.1999969482422,71.0999984741211,72,72.9000015258789,73.8000030517578,74.5999984741211,75.5,76.3000030517578,77.0999984741211,77.8000030517578,78.5999984741211,78.3000030517578,77.5,77.8000030517578,77.1999969482422,77.1999969482422,78.4000015258789,78.9000015258789,79.6999969482422,80.4000015258789,81.4000015258789,80.9000015258789,81,81.6999969482422,81.9000015258789,82.5,83.0999984741211,83.1999969482422,
Bahrain,19.2999992370605,20.6000003814697,22,23.5,25,26.5,28.1000003814697,29.6000003814697,31.1000003814697,32.7000007629394,34.2999992370606,36,36.7999992370606,37.5999984741211,38.4000015258789,39.2000007629394,39.9000015258789,40.7000007629394,41.4000015258789,42.0999984741211,42.7999992370606,43.4000015258789,42.9000015258789,42.5999984741211,42.2000007629394,42.0999984741211,41.7000007629394,42.4000015258789,
Bangladesh,58.7000007629394,59.5,60.0999984741211,60.7999992370606,61.4000015258789,62,62.7000007629394,63.4000015258789,64.1999969482422,64.8000030517578,65.5,66,65,63.9000015258789,62.7999992370606,61.7000007629394,60.5,60.9000015258789,61.4000015258789,61.7999992370606,62.2000007629394,63,63.5999984741211,64.1999969482422,64.6999969482422,65.1999969482422,65.6999969482422,66.4000015258789,
Barbados,69.8000030517578,71.8000030517578,73.6999969482422,75.5,76.5999984741211,77.5999984741211,78.5,81.3000030517578,84.8000030517578,84.8000030517578,83.4000015258789,81.1999969482422,83.0999984741211,84.1999969482422,85.3000030517578,86.3000030517578,86,85.6999969482422,85.8000030517578,86,86.0999984741211,86.3000030517578,86.4000015258789,86.5999984741211,87.0999984741211,87.4000015258789,87.9000015258789,87.5,
Belarus,94.0999984741211,94.0999984741211,94.0999984741211,94.0999984741211,94.0999984741211,94.0999984741211,94.0999984741211,94.0999984741211,94.0999984741211,94.0999984741211,93.6999969482422,93.1999969482422,92.8000030517578,92.3000030517578,91.8000030517578,91.0999984741211,90.4000015258789,89.5,88.5,87.5,87.5,87.5999984741211,87.5999984741211,87.5999984741211,87.6999969482422,87.6999969482422,87.6999969482422,86.9000015258789,
Belgium,52,53.0999984741211,54.2000007629394,54.4000015258789,56.7000007629394,57.4000015258789,58.2000007629394,58.5999984741211,59.0999984741211,60.2999992370606,60.7999992370606,63.0999984741211,64.3000030517578,66.4000015258789,67.1999969482422,68.0999984741211,68.8000030517578,69.5999984741211,70.4000015258789,72.8000030517578,73,70.6999969482422,71.9000015258789,73,74.1999969482422,76.8000030517578,77,77.5999984741211,
Belize,22.1000003814697,21.8999996185303,21.7999992370605,21.1000003814697,21.2999992370605,21.2000007629395,21.1000003814697,22.7999992370605,24.2000007629395,26.5,27.7000007629395,29.6000003814697,33.5,37.5,41.7999992370606,42.4000015258789,43,44.2999992370606,45.5999984741211,46.7999992370606,48.0999984741211,49.4000015258789,50.7000007629394,52,53.2999992370606,54.5,55.7999992370606,55.5,
Benin,43.2000007629394,43.5999984741211,43.2999992370606,42.4000015258789,42.7999992370606,42.9000015258789,42.7000007629394,45.7999992370606,49,52.2000007629394,55.4000015258789,58.5999984741211,61.5999984741211,61.5999984741211,62,62.2999992370606,62.7000007629394,63.2000007629394,63.5,64,64.5,65.0999984741211,65.5,65.9000015258789,66.0999984741211,66.4000015258789,66.6999969482422,67.3000030517578,
Bhutan,37.7999992370606,36.7999992370606,35.5999984741211,34.4000015258789,33.4000015258789,32.5,31.7999992370606,31.3999996185303,30.8999996185303,30.2999992370606,29.2000007629394,27.7999992370605,26.1000003814697,24.2000007629395,22.6000003814697,21.5,21,20.8999996185303,21.5,22.7000007629395,24.5,27.2000007629395,30.7000007629394,34.5999984741211,38.7000007629394,42.4000015258789,45.7000007629394,49.7999992370606,
Bolivia,43.2000007629394,43.4000015258789,44.0999984741211,45.0999984741211,46,47,47.9000015258789,48.7000007629394,49.4000015258789,50.2000007629394,50.9000015258789,54.0999984741211,57.2000007629394,60.2999992370606,63.2000007629394,66.0999984741211,68,69.5,70.0999984741211,70.6999969482422,71.4000015258789,72.4000015258789,73.5,74.9000015258789,76.4000015258789,78,79.8000030517578,79.5999984741211,
Bosnia and Herzegovina,88.3000030517578,88.4000015258789,88.4000015258789,88.5,88.5999984741211,88.6999969482422,88.8000030517578,88.9000015258789,89,89,89.0999984741211,76.4000015258789,76,76.0999984741211,76.4000015258789,78.0999984741211,80.9000015258789,81.5,81.4000015258789,81.5,81.5,81.5,81.5999984741211,81.5999984741211,81.6999969482422,81.8000030517578,81.9000015258789,82.0999984741211,
