country,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
Australia,,,,,,6.40000009536743,6.40000009536743,6,5.19999980926514,5.40000009536743,7,7.30000019073486,7.59999990463257,7,5.90000009536743,6.09999990463257,6.30000019073486,5.69999980926514,5.30000019073486,4.90000009536743,5.19999980926514,5.09999990463257,5,4.40000009536743,4.19999980926514,
Canada,7.09999990463257,9.10000038146973,10,10.1999998092651,9.69999980926514,8.89999961853027,8.5,7.69999980926514,7.40000009536743,7.5,9,9.30000019073486,9.89999961853027,9,8.30000019073486,8.5,7.69999980926514,6.90000009536743,6.30000019073486,5.80000019073486,6,6.19999980926514,6.30000019073486,5.90000009536743,5.69999980926514,
Czech Rep.,,,,,,,,,,,,,4.5,4.40000009536743,4.09999990463257,4,5.19999980926514,7.30000019073486,9.5,9.89999961853027,9.10000038146973,8.30000019073486,9.30000019073486,9.30000019073486,9.30000019073486,
Estonia,,,,,,,,,,,,,,,,,,,,12.3000001907349,11.1000003814697,9.30000019073486,8.80000019073486,8.30000019073486,7,
Finland,3.40000009536743,3.90000009536743,3.79999995231628,3.5,3.20000004768372,3.29999995231628,3.5,3.20000004768372,1.89999997615814,1.60000002384186,3.79999995231628,7.59999990463257,12.1000003814697,12.5,13,12.6000003814697,11.1000003814697,10,8.89999961853027,8.80000019073486,8,7.30000019073486,7,7.5,7.19999980926514,
France,7.5,7.90000009536743,8.10000038146973,8.89999961853027,9.69999980926514,10.3999996185303,11.1999998092651,11.1999998092651,11.1000003814697,10.5,10.8000001907349,11.3999996185303,12.3999996185303,13,12.5,13.1000003814697,13,12.6999998092651,12,10.8999996185303,9.89999961853027,9.80000019073486,10.3000001907349,10.3999996185303,10.3000001907349,
Germany,,,,,,,,,,,7.09999990463257,8.5,9.69999980926514,10.1000003814697,9.19999980926514,8.89999961853027,9.80000019073486,9.19999980926514,8.30000019073486,7.80000019073486,7.80000019073486,8,9.10000038146973,9.80000019073486,10.1999998092651,
"Hong Kong, China",,,,,1.39999997615814,1.29999995231628,0.89999997615814,0.80000001192093,0.60000002384186,0.80000001192093,1,1.39999997615814,1.29999995231628,1.20000004768372,2.20000004768372,1.70000004768372,1.5,2.90000009536743,3.59999990463257,3,3,5.09999990463257,5.5,5.09999990463257,3.90000009536743,
Ireland,,,13.8999996185303,15.6000003814697,17,17.7000007629395,16.7000007629395,15.8999996185303,14.8999996185303,13.5,14.6000003814697,13.6999998092651,14,13.3999996185303,10.8000001907349,10.6999998092651,9.30000019073486,6.69999980926514,4.80000019073486,3.59999990463257,3,3.20000004768372,3.40000009536743,3.09999990463257,3.20000004768372,
Japan,2,2,2.40000009536743,2.59999990463257,2.5,2.59999990463257,2.59999990463257,2.40000009536743,2.09999990463257,2,2.09999990463257,2.09999990463257,2.5,2.79999995231628,3.09999990463257,3.20000004768372,3.20000004768372,3.90000009536743,4.40000009536743,4.30000019073486,4.59999990463257,5.19999980926514,4.90000009536743,4.5,4.40000009536743,
"Korea, Rep.",,,,,,,,,,,,1,1.10000002384186,1,0.89999997615814,1,1.60000002384186,4.80000019073486,4.30000019073486,3,2.70000004768372,2.20000004768372,2.59999990463257,2.70000004768372,2.90000009536743,
Latvia,,,,,,,,,,,,,,,,17.6000003814697,14.5,12.8999996185303,13,12.8999996185303,11,9.69999980926514,9.89999961853027,9.39999961853027,8.10000038146973,
Lithuania,,,,,,,,,,,,,,,,,,11.3999996185303,12.6999998092651,13.5,14.6999998092651,12.6000003814697,10.6000003814697,11,8.19999980926514,
Netherlands,,,,,,,12.6999998092651,12.1999998092651,11.1000003814697,10.3000001907349,9.30000019073486,7.30000019073486,7.19999980926514,7.90000009536743,7.69999980926514,7.19999980926514,6.19999980926514,4.69999980926514,3.5,3.20000004768372,2.90000009536743,3.20000004768372,3.90000009536743,4.59999990463257,4.80000019073486,
New Zealand,,,,,,3.59999990463257,3.20000004768372,4.19999980926514,5.19999980926514,5.40000009536743,7.5,7.69999980926514,6.90000009536743,5.90000009536743,5,5,5.30000019073486,6.19999980926514,5.30000019073486,4.59999990463257,4.09999990463257,4.19999980926514,3.90000009536743,3.40000009536743,3,
