Exports of goods and services (% of GDP),1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,4.45344332226391,4.8780512805869,9.17160120499945,8.88889264987633,11.2582790289315,8.57142878040817,6.77290836111596,8.89967656844817,10.0946369794107,9.78400233539966,10.9223422347206,14.7632312216075,12.9487181304931,14.0206189267297,12.676056852159,13.2173912457316,11.6629042950673,10.8417503145394,,,,,,,,,,,,,,,,,,,,,,,,32.4385011175712,42.2955003336313,32.931170254724,30.5509882397402,27.6401775365602,22.926131206423,26.6761197513992,22.8600932550211,20.124518659001,18.1061418855381
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,23.1155875761871,22.9826425851359,19.3750003868472,18.196603961871,17.4130826511887,16.2355453284424,15.0575047540333,15.4662972044259,16.3822901222954,17.9401528155971,14.8694465448298,7.22457948363157,11.4904380116056,15.4225232810901,11.3516873580883,12.4753742451346,12.3165165588303,10.471900652917,10.7614028508349,17.2870502782726,19.1355354398795,20.5198161786166,20.419307289136,20.6193990203083,21.5421184016116,22.2730689607051,25.0905262812748,28.7771692658502,29.5113175650109,28.4115487903861,32.4274705354147,33.8009322642742
Algeria,46.2445571347302,19.7938722711474,24.6846823239014,25.0840585746198,22.6039435446469,25.9861974624013,23.4344167518144,23.1356346520185,23.7887768786231,22.0727335874648,18.4425191363941,20.4495619886417,25.5036630308397,38.7490436243751,33.6889361446827,33.0545838928409,30.5865669191252,25.5358367606735,31.1483001729379,34.3384614748645,34.5872507485579,30.9248563124729,27.9418060930813,25.7100161831795,23.5839328707117,12.8547573499606,14.2724747280469,15.5078678824297,18.6392633400709,23.443685085254,29.1178221684276,25.3195942820248,21.7838769973586,22.5307252451437,26.1947759782283,29.7604483253996,30.9063113795977,22.5783540098769,26.8088741028012,41.1753530091474,36.2479913757281,35.0761498272748,38.266469837479,40.071884969672,47.6463528470463,48.6078477443609,46.6094940542608,46.2736575206013,29.2893052510354,30.8304054739444,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,35.7197351752412,38.5450683769489,32.5934912785758,33.0219268466788,33.8730633353182,38.9125210093928,30.2632793121593,68.7913335123889,53.901384801395,85.3577125582567,,82.7222553055501,68.4919360709219,56.7231367220642,86.2964933434279,89.626205817636,75.3865300835875,74.9538387937488,69.5699781258036,69.6866830659887,86.0175376537308,79.8372778651843,76.3974837709564,78.0985229538747,55.0552754454129,62.4131057502513,64.9769748627048
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,47.7014390503388,61.6001187472169,81.7867898012447,67.3026448617,73.2242260722738,67.8229089989354,61.3488606877661,74.7438524590164,75.1408157307799,84.1140474755995,79.5961152195273,78.7354527162978,81.0035809757513,88.952366539291,90.0798646957867,96.1071850090896,96.2211521028179,58.8043607062448,85.2956562021577,75.6656874310678,76.4486474491292,75.1406740364982,72.5363636363636,62.8979812529091,60.3162713310484,55.7888114687086,57.5884002073159,58.9951364595629,54.419679356129,48.025320502316,44.8558946514427,46.1657395697375,46.2513058030784,45.402342062636,48.0119279886769
Argentina,5.99494697706381,4.69184274513406,7.89045421876083,5.56371561616304,6.22587444357216,6.65291738494972,7.49559622069304,6.48445345820834,6.3987133161198,5.60156667550987,6.00723288084226,7.19776583833433,7.61266772124967,6.90257079733271,5.82405179882455,9.17538829667438,9.61589241275849,8.60838993812426,6.51091546668515,5.06197268096596,6.92104948036129,9.09049307859512,9.15152068682072,7.5898953117888,11.7360980207352,8.16197754429543,7.87320581340031,9.53161297293404,13.0584089085641,10.3595365925264,7.67504332433849,6.59818746427896,6.90935164160071,7.52183176001764,9.64880758264516,10.3991271471171,10.5286544022475,10.3850041871365,9.78798846359568,10.8854651276748,11.5286111307927,27.689675715619,24.9711946894671,25.2574666424322,25.0679326766857,24.7594468282311,24.6265468941767,24.475413082874,21.3511739141605,21.7064687768782,21.8234278163191
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0029815146094,40.7453883799724,39.8207529671103,47.2189771870216,39.3280401333317,23.9279214540756,23.240002799019,20.2732698898362,19.0030205066285,20.7582599150008,23.3752785094862,25.4683909062582,29.3565510388216,32.1526450092688,29.7348288897575,28.8092203201695,23.3589858676515,19.1856439468102,15.047103497546,15.4744686790481,20.5836109034464,23.4773616279805
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.768738019987,115.559444289044,111.60391586248,108.923757694062,102.030456852792,125.587043208445,112.58205397137,69.9429715116908,,,,,,,,,,,,,
Australia,12.4031007751938,13.9524399864758,13.0099515448341,14.9396567980388,13.2196069963291,12.9387587340732,12.8894296353648,12.298933360771,11.9559565682826,12.9728116351007,12.657505704931,12.8263362640822,14.1507537688442,13.1450181625172,14.2816980601631,13.5182537871052,14.0211530053507,13.6280435487254,14.3078791149487,16.4283430373064,14.888379817128,13.5264765957931,13.5852506314666,13.5525823353293,15.2242786644356,15.0129916054242,15.5016389768302,15.9524322992082,15.1236923812447,15.1135928447009,16.0178534906943,16.654148479867,17.5290271925345,17.9331853125762,17.8442218748489,18.8586099810272,19.1115691350887,19.5664678583852,18.3157850702467,19.3960458403382,22.067633807001,20.6333416341258,18.9150854464479,17.0427243227646,18.1132784377006,19.696764082939,20.0168965708271,19.8829200926231,22.7253561280863,19.6200652553774,21.2884821704906
Austria,23.0053297937755,23.4163731876468,23.4268110207149,23.3993989196795,23.7702933429408,23.708681403716,23.7042547228676,24.309171420419,26.8480017913189,28.4550434541256,28.0848063757934,27.976054372934,27.964316240928,30.2445240891816,29.1852063630221,29.8686347754432,29.0390665517562,30.2452753777761,32.0794974630085,32.9233254934916,34.2816730435623,32.9736299068369,31.6612939352754,34.0223384486215,36.2768885486367,33.2397939345838,32.6253231092756,34.354665150117,36.3744141447551,37.0831079451147,35.9332130116145,34.4422805384037,32.685255766778,33.4068558055837,34.8348213964674,35.4891867396637,39.2480872781011,40.8909136900983,42.0512393536517,46.2095342991932,48.0784076733414,48.6846270960957,48.2413284064419,51.4840808676898,53.8389491674586,56.3617556592669,58.8997949669903,59.2672317439116,50.0644178368516,54.1032606830272,57.2917228561451
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.8608458390177,45.6549401197605,86.2040206634717,57.4324238295922,24.7225995855914,27.9008665534056,29.5157034451941,29.0218802956039,22.7023178005815,27.9835789705119,39.0413590958848,40.9230417854993,42.7685232318542,42.0108749135941,48.7874798141507,62.936430137752,66.5062305540901,68.1309403527794,65.7774117011568,51.582865654537,53.9700148121983,62.7997767871968
Bahamas,,,,,,,,,,,,,,,,,82.6507669004208,82.664580490149,68.871728015625,70.3811894347323,67.3817049815735,65.7859729423106,66.5685614035088,63.5882618025455,64.7907985607432,63.8180000979478,61.3227748892097,,53.8314826910516,54.160770688566,50.9510921971226,50.247024766806,51.9666882276843,51.0214789812826,49.549139690872,48.0376835688556,42.9961466354667,40.4040404040404,42.5020249263618,44.3561743941417,39.722090380473,42.1739247909887,41.7484193050914,44.5519594080581,45.1859549335589,44.6616119236898,46.7392940205765,46.0414835114865,40.3945638491667,41.4739801458142,43.4465992613304
Bahrain,,,,,,,,,,,,,,,,,,,,124.108454167577,131.129679732994,118.98162124307,96.6818524636856,96.4862103422259,101.769720445247,98.7104643711204,102.367889722083,95.3379807850121,98.6438978752635,115.555830985915,85.0031666302364,84.3819937304075,83.8745986211769,81.1932700886743,81.9905438062175,87.9135257114146,79.076780802006,64.6036706948873,78.8672454594318,89.4357474103802,82.3225546759694,81.9238238426361,81.8772169167804,92.0014202864244,99.5317038471418,98.7871772935434,93.729933628,96.8489690846832,81.2935378176712,,
Bangladesh,10.7823532370861,10.746751371146,9.98348523651249,10.0284123361022,9.66271658855451,10.2842807706731,9.30614199162477,8.33080900732256,8.14599252259381,8.3131128857619,6.29148736802526,5.67473051747423,6.53940927919591,3.70107547672263,2.89507889669662,4.74608176691283,7.04075195394132,5.5576631580501,6.1092194770945,5.49428378729734,5.27013435319244,5.20871344059269,5.74223380389314,3.27999722328277,5.55019717267201,5.35111136399917,5.1650998816838,5.62737442948062,5.74726195208164,6.12206923284946,6.66262025896864,7.58667935620978,9.01726632440458,9.00154384379256,10.8646328074499,11.0843287029779,11.9934406891721,13.3286831830586,13.1936652782399,13.9800198662508,15.3817999387883,14.2759726355321,14.2138152193043,15.4648528664928,16.581316241668,18.9736604158634,19.7766917282094,20.3396013062124,19.4276240282943,18.406168414385,22.9008583110269
Barbados,45.0563204005006,51.0830324909747,55.0802139037433,52.0990312163617,58.3926754832146,62.5294950448325,60.3441040704994,63.2556445739257,61.5932642487047,59.504132231405,61.2310747083644,64.8528099910794,60.3154652624218,62.3086797398402,50.3815854258986,44.8935195786581,49.5873590982287,58.0755395683453,65.4279787771775,70.1317469596855,59.7448279829523,63.8291489447236,70.513060204468,71.9298285595875,67.7496995858789,56.5343900089184,45.9930646204708,48.7125699535364,50.3049239383948,49.1047031982736,47.4479854315226,55.2407963284265,57.7400798834793,57.7877573275706,61.9688126791094,60.8595366067425,56.6254678625525,53.0299810349639,51.2820470511557,50.469936095294,51.2061149627631,50.8621234170187,51.0950448382738,52.2475424929178,59.3834890182759,60.1336129748953,59.4548975015395,60.0455235553704,60.6167496995213,47.3439591191142,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.9584295612009,36.8541905855339,59.2861005949162,67.6369098363983,71.2699233415012,49.6653284196549,46.3499639281231,59.8598642804939,59.0511351312398,59.2033571533871,69.2108213448948,66.7476067360772,63.6275159440362,65.156379906358,67.8863333586708,59.7978087236099,60.0613117690842,60.9430527153212,60.9377552183976,50.529749960347,54.275909995434,87.8919185758021
Belgium,39.0131747175794,40.5730913202232,41.7125390253489,42.4975544033319,41.9832709983555,43.6661054948653,42.6867324128493,44.8669093217312,48.8002811996644,48.877367794088,47.5848672932273,47.9869373688923,52.2212944450899,57.5067221389472,49.9208380603385,52.7893001945506,51.6508378346904,49.7529798430544,54.276678471016,54.4885144256506,58.7789479833983,63.1710882526178,65.6633392425228,70.0304039989252,67.9016000928188,62.2792831080689,60.7405550453307,64.5896625012793,69.1110471753628,66.9876431929556,65.4828917103099,63.9382515503235,61.0014642055275,63.5207899631634,65.3575533720969,65.6230807751542,69.7904674188349,69.702332295598,69.9577606885552,78.1411482401017,77.8497553915852,76.6938426029335,73.9336681670209,75.93679086262,78.6781353502398,80.7636695532715,82.5463424802347,84.9328040418621,72.7851351470316,79.8969462969463,84.3430601672092
Belize,,,,,,,,,,,,,,,,,,,,55.3786906290116,53.3955417314671,47.9776847977685,49.0740740740741,62.4466571834993,48.4819507530481,55.5189817862629,60.4592262977848,62.0196887900921,59.7411511610673,62.2200726195888,54.2700138845566,49.7286411897697,46.6990217361606,49.8407887378407,47.969413786629,50.0121927695565,52.7886682433836,52.5906293983857,55.0663447682289,52.9927601636326,50.8671137854895,52.555385907608,53.3023529860925,50.6451353919436,54.6273824945651,61.3524752643045,59.8795260939526,61.8665199853319,15.7561156412157,58.3732570611369,65.5716753022452
