"Foreign direct investment, net inflows (% of GDP)",1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,0.013151224355597,0.024575271426181,0.009401114675398,0.015576923690414,,,0.001565217384336,-0.008126410600411,,0.032450496438552,0.247135734783994,0.005174215981721,,,,,,,,,,,,,,,,,,,,0.027623565221502,1.15236379419292,1.21272464427547,3.27653155834302,3.97666616697337,3.08213035451794,2.50325172371134,2.5125005,1.30156387254902,0.438725894444444,
Albania,,,,,,,,,,,,,,,,,,,,,,,2.81907498411995,4.72285382791566,2.66912020805247,2.88719448267083,2.99015884042515,2.16280334745983,1.65008065357165,1.19962644328669,3.87886085676959,5.06719564715178,3.03413506077154,3.14979053922854,4.57214197947233,3.13352261843384,3.56152309684968,6.18683776983471,7.39089005872316,8.00863763246038,9.41412338730145,
Algeria,1.64737750548651,0.011817485250677,0.6135952399555,0.585190808318855,2.71012685233666,0.764883026133901,1.05480779109489,0.85091306817271,0.512629539650083,0.077285926059014,0.823395355259692,0.029780507839233,-0.118497323878638,0.000855797990378,0.001494775753062,0.000686577384946,0.008346683212533,0.005561000473024,0.022031597396983,0.021735256718253,0.000539792139948,0.025459023792126,0.062495707002099,,,,0.575184050859386,0.539666954479717,1.25882536695318,0.599499017235163,0.511224125927525,2.00775664237732,1.86668409037092,0.931656846384531,1.03735922715042,1.05629226637766,1.53282445606438,1.22382656609046,1.51763909263787,1.99826310544159,1.41450081500539,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,4.08566489260558,3.68164809133753,1.61178435873098,1.64258501873785,2.15446325730702,-3.26309639819295,5.44951457868676,4.98245984723078,5.71552892996989,4.1950181977579,9.37441690459021,2.39899396705538,5.36335988720076,17.2837359195065,40.1570869489255,9.62430322660176,24.0092259074592,14.6267604702806,25.1120264019576,7.32852477172699,-4.25640309512017,-0.083507870870057,-1.47778095991615,1.99453632534964,2.92120719158876,-3.79953462551828,
Antigua and Barbuda,,,,,,,,3.32605414911484,-9.21775287171227,9.21501722758949,17.8073897754226,17.9973230018411,16.6724832682171,3.26220905117202,2.53586070052262,7.72801488126959,9.19086653175866,13.4728760718331,9.72902650372526,11.5444509674178,15.4780374266947,13.351382717752,4.63658937009655,3.33833620742862,4.95689663926607,6.37113088979756,3.57656233869657,3.95694956312597,3.67301847328825,7.94544559486708,5.37252229632377,12.3998815018852,8.00106900824106,19.1920714973059,8.6996708268916,21.5949779129455,30.8641494151582,25.6626189866664,12.6401295140619,6.43527271929684,7.98127980863544,
Argentina,0.284224297406374,0.377464477482756,0.206489502468111,0.190792478258773,0.02473881453256,0.106009598269625,0.478175476645822,0.253605959289198,0.430419501184093,0.297462920183777,0.880955110053294,1.06384544018918,0.269252481027723,0.177920358938206,0.338845892416111,1.03939676921859,0.51742270994039,-0.0171007571835,0.908825708058126,1.34139040897869,1.2988816648031,1.28557881763899,1.93679057503646,1.17974376780762,1.41195326503931,2.17392651013229,2.55320333148075,3.12787913284676,2.43876804591039,8.46058148953317,3.66579065623452,0.806164238976914,2.10594174902883,1.27472756823048,2.69360932300224,2.87414816419688,2.58674148134922,2.4823339301604,2.97712104931784,1.30816946116976,1.91331141465568,
Armenia,,,,,,,,,,,,,,,,,,,,,,,0.188593618773424,0.066593791057978,0.608291621351056,1.72442285719746,1.10020926862509,3.16805367488108,11.6611351905654,6.6129058965919,5.45051163539142,3.29806741743693,4.66006256460226,4.30600544932126,6.92988859444841,4.8849668885587,7.09805494059462,7.590690174152,8.02120501166048,8.99048545257482,6.08311401024972,
Aruba,,,,,,,,,,,,,,,,,,,,,,21.1851381498761,-3.85780877569572,-1.65549243203914,-5.87443899965892,-0.418781716974591,6.12145704235853,12.7899334852029,5.01845018542719,26.8741887924469,-6.88608327972743,-14.11003179645,13.6714410638634,,,,,,,,,
Australia,2.15410690629932,2.51802506083606,2.00615858933406,0.22864456126671,1.4842577304494,0.463746096337021,0.983635691582009,1.02421177586508,1.40454445667358,1.09452988726734,1.23645866431198,1.31451198792747,1.2074137304644,1.67017448495673,0.192015778340317,1.13252047595374,2.90876580531139,2.76416172138117,3.09331745639533,2.40090570446546,2.58246647525067,1.30937253429435,1.73452475347614,1.37070794592612,1.53461801687348,3.24264833237333,1.53148872795495,1.74376540199858,1.48472720304706,0.848297286363843,3.26659056504517,2.17138083214949,4.27845665123362,1.71298488376175,5.98322572200579,-5.11161458093181,3.5228924024728,4.79270403385008,4.45378197859142,2.9480235711205,2.70198662965885,
Austria,0.738168719043727,0.805082505985648,0.663963146244549,0.548644099443704,0.506805129114464,0.198939774990756,0.213921189780764,0.189293819196453,0.231322054968418,0.255327269898346,0.293741671654641,0.464566081288753,0.294157374692664,0.302281441003894,0.170965791656511,0.251676556856166,0.189953223429733,0.332722277572658,0.329689733890256,0.44525126583036,0.396258982709296,0.209141663473539,0.747003481745445,0.599651814903653,1.05201832596035,0.796647567578315,1.88116981576294,1.26248769618825,2.17656954393932,1.41700162845956,4.43868021610579,3.0811359391511,0.153289233809349,2.79518414798598,1.33550064134182,26.7713219754708,1.23498119939051,17.057284134034,1.59406553771138,3.01814816430698,-6.76287217609223,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,10.812563854724,19.7458748828971,28.1332208037286,23.0066541515872,11.1393193936729,2.46437386157034,3.96860809911707,22.3288875669285,45.1498570703608,40.9664664179982,12.6830237278499,-2.78323069711716,-14.3690467661889,0.030244112693461,1.06861384773113,1.08766869273861,
