,"Foreign direct investment, net outflows (% of GDP)",,,,
,,,,,
,Definition and explanations,,,,
,Indicator name,"Foreign direct investment, net outflows (% of GDP)",,,
,Definition of indicator,"Foreign direct investment, net outflows (% of GDP)",,,
,Unit of measurement,,,,
,,,,,
,Data source,,,,
,Source organization(s),World Bank,,,
,Link to source organization,http://data.worldbank.org/indicator/BM.KLT.DINV.GD.ZS,,,
,Complete reference,,,,
,Link to complete reference,,,,
,,,,,
,Specific information about this indicator,,,,
,Uploader,Gapminder,,,
,Time of uploading,31-May-12,,,
,,,,,
,,"Luxembourg is not displayed in the graph, due to its extreme values.",,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
