"Foreign direct investment, net outflows (% of GDP)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.182249300681383,0.0484872179404,0.116287188780391,0.139329180214374,0.649480881426564,0.325656199486793,0.001585638855888,
Algeria,,,,,,,,,,,,,,,,,,0.026447298064828,0.00095639839487,0.046839955187281,0.079385650843423,0.0329152981381,0.025048214803614,0.029952929663224,0.02727965749338,0.004119464309679,-0.008346683212533,0.022552946362819,0.008297614604059,0.014647673005779,0.007557089959278,0.110006665594816,,,,,,,,,,,,,,-0.019542872643435,0.029017834914359,0.217225533692351,0.185976582450421,0.155661799880414,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008771764511271,,,,,,,,,,,,0.251055429032389,0.169314601106591,0.178202830900897,0.716112051587231,0.421991616693423,1.50828355235098,3.05261271254437,0.00894540079328,1.57814520633623,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,-0.001761152495064,-0.039598594108936,-0.085195690732247,-0.142927820215136,-0.135999357347959,-0.035584028329655,0.001923463339872,,,,,,,,,0.509623850669077,0.297807555530088,0.393429214265862,0.580218619020587,0.588186817451563,1.24729627383042,0.777885847099264,0.610279540130194,0.317036004733208,0.05987296396128,-0.614600103534323,0.597065815428104,0.441449936178854,0.715669852742407,1.13923152957578,0.576844529752158,0.425778794220298,0.231713523292718,0.261639904375805,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012824801416336,0.062908639838436,0.137190670713462,0.048235438627577,-0.023245008689913,0.087547122590394,0.609609935521192,0.088035804274217,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024291496199835,-0.109409182935868,0.08386447502385,-0.246433198386338,-0.018034264372922,-0.270667832625813,-0.321543407531532,,,,,,,,,
Australia,0.095378937541985,0.118362235037378,0.083597427563061,0.08245694698296,0.093305482378029,0.175192166147822,0.121957092698502,0.175114226200679,0.179846467669128,0.290544512823473,0.268591883578469,0.22847816024744,0.245183185150075,0.401760076544282,0.272469380045422,0.162842187385695,0.250685085624647,0.239479213099785,0.197523089755118,0.252171601481921,0.304719416392904,0.410577944122528,0.356058888409683,0.291689228403601,0.7209792019365,1.03186730317323,1.81343686670926,2.68630949093518,2.44157824920251,0.956682261860066,0.322476576762959,0.367559223768129,1.56590218417172,0.61654295356518,0.864406462354389,0.880825045666904,1.74716755418159,1.45505791776845,0.833937219188982,-0.108150755155252,0.785633623529478,3.14543442593529,1.96227977274815,3.67546808135864,1.79617722318959,-4.87319097477941,3.19190721489473,2.32960294035806,3.58995230245659,1.70102012037627,2.16737069128762,
Austria,,,,,,,,0.017272004838461,0.134484953885308,0.091461835791573,0.056704664317118,0.203749806769578,0.17519672062329,0.132284635122153,0.056466483718207,0.064960464407287,0.131793937817842,0.168347894565949,0.145906694677356,0.115603991810081,0.123627917938421,0.299210862242516,0.197073076211703,0.263824986099914,0.104319063707693,0.106756246200707,0.32237522826768,0.254676789352036,0.234559175405244,0.65752230273524,1.0316932961882,0.751255004288689,0.876572405508326,0.631543731101762,0.62441666633747,0.475779279812416,0.818378530562709,0.954997279328864,1.30439798674956,1.55814604891072,2.91468325070929,1.63400503550033,2.76766586821444,2.81297609097989,2.89077235389433,26.834873690682,2.6328639651969,19.0864407953888,7.13138019524622,3.11905761704559,-5.37568680445716,
