Imports of goods and services (% of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,7.02479347148418,8.09716642619941,9.3495933013418,16.8639103538386,18.0555552395062,21.4128035719291,18.5714286178685,14.2098269725666,15.2103564374902,14.9842271700982,11.9441077947867,16.1407952433057,18.1058497728602,14.7435906524655,14.8453612165374,14.2723007782477,14.8695653737981,14.823175469368,13.8720537624669,,,,,,,,,,,,,,,,,,,,,,,,61.5997272602845,90.840320445779,77.5665084970999,71.2647269595529,67.7061602364685,59.0001381245565,47.6548333333333,59.9159215686274,53.5622571785268,
Albania,,,,,,,,,,,,,,,,,,,,,22.7094870193599,21.5149628679747,23.8775381044487,20.8090178741395,19.3773469121562,18.4498611317997,15.4675095813777,15.5625112472039,19.2180154280339,20.7183770315281,23.1963366099344,27.5918065266705,88.5122483724725,62.2925456394855,38.9503248050198,34.5120477386806,35.2307875463327,36.7390250151109,34.3735066884068,32.0288627802329,37.4898037254175,38.7103647324426,46.716601415797,45.8742404578104,43.3065015395713,46.3261210816401,49.1511396030915,54.9647231404958,56.1192766544117,54.2356818181818,51.7527342062992,
Algeria,67.1436318342075,67.5037708405708,20.818646719159,36.8255149471885,29.4397624238014,25.8330783367393,24.6535719515089,21.6317693093672,24.1872544089284,28.0707579347606,29.1526684104409,27.6637776782248,25.7268683082912,31.5897636940017,35.4897755695311,42.9655991893928,37.1186729405498,41.7403172814321,40.1687321591452,32.8657490976749,30.3384616765137,30.8777428326635,28.9980749588545,25.8023112306606,27.4663674933607,26.7421877346447,23.1719532188952,18.4121097348394,22.6037193881732,28.5140563725708,24.9370286062634,23.5997645360133,23.8694899539916,23.1389363765719,26.0537125407826,28.9962292273172,23.9446995503363,21.3376001273287,22.5160965486366,23.683912808748,21.3542387162693,21.6016427559525,25.399971260517,23.8742791326038,25.6521231451666,24.2699026536872,21.5166823308271,23.2930574595382,22.9086299012949,24.8207522993252,21.4966790367902,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,25.3370014018053,32.1296524011286,29.2888720316135,22.1350244130774,19.1918080964225,20.9284552459201,27.0531710854903,70.7300557381313,55.1563700637333,75.850197757904,,68.2999709370396,67.7852159654295,73.1428924223608,92.699022338908,62.8277577058883,74.9443815631528,62.1977916377214,63.0631013593225,53.7109497626297,49.4391060377672,36.0633080201667,43.512550387075,51.2257947270728,46.2306885690728,43.3429517270655,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,52.6289265916345,58.0475978427589,75.4547279662718,86.6747425802544,95.5750677851542,107.136136295062,76.4734320286714,85.0046994535519,92.7361769374551,105.762737679238,103.417026426023,90.2873799317645,90.7626492504365,86.972685104612,90.6709946733381,93.2981401202629,90.7151323177237,57.2712975471027,95.6006872073582,98.5625288993077,82.48467209984,79.0149946409891,81.2028409090909,62.1117525691876,61.283180919811,57.6333922072723,61.7059096686335,63.1683749279915,65.6482154444733,69.3775580314994,70.0534689167634,67.0940711444753,60.3554647337656,53.8220922682258,
Argentina,7.60404696124048,5.99494530209541,9.38368286849735,7.89045201419396,5.56371406167926,4.15058296238145,4.98968803871229,4.99706414712869,5.40371141647755,6.39871331611979,4.73587740602486,6.6079560346544,6.83787735872124,5.70950079093725,6.28900906042605,5.97867249623566,5.92149632799174,7.3263941552611,5.71540643432841,6.32976917431167,6.48369977949532,7.37192799858578,6.52099302139343,5.83614942003836,4.75648611743286,6.27332704995288,6.32405524784407,7.57576406955165,6.21184563577101,6.57938879331971,4.63132240741775,6.07801082189173,8.13279311345442,9.31379985948158,10.6000485079509,10.0753056571915,11.0686849015361,12.7726704936053,12.9315984119572,11.5340899372154,11.5192709792568,10.21017310057,12.8000137118575,14.2016064899075,18.1672481641708,19.1887202153954,19.2321681974994,20.3371259842742,20.6504254435853,16.0023509267861,18.4001995705946,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.3327370304114,60.1204668088844,61.2560012247461,60.7541713991923,73.1007908707496,62.1869335075418,55.9895587867838,58.2744746307762,52.839432630691,49.8021595924125,50.5432892388463,46.1488057252256,46.5868685566093,50.0350015421852,45.3023812945591,43.2297051528683,39.250207195284,39.1508144360714,40.6557586180882,43.0044011890563,44.7809507882283,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.858434782152,136.247078787879,128.880865472731,115.515688436768,120.896779695431,147.449379889263,138.110863866451,91.1774634804957,,,,,,,,,,,,,
