"Industry, value added (% of GDP)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7226789206363,18.6508455906805,23.3588523169084,25.2756865499876,28.2047205839433,25.8184679913447,25.978376443388,21.2147927484268,22.1670532880725,
Albania,,,,,,,,,,,,,,,,,,,,,44.9999993409705,43.0000619891746,43.800170212766,43.3000494549637,43.9999988835857,43.3001262526512,44.2001146832884,45.8001516087478,46.2999751646284,44.800063190793,48.2007979197202,42.6969054212636,23.320558854068,22.9017068496662,21.7306840268062,22.4979416572273,20.1652706395803,18.6828422402768,16.0277877218936,16.7763647457645,19.0092271864807,19.7893787275505,18.5170231945085,21.0859112817055,21.1999990349846,21.5,20.298799313996,19.6647725892396,19.0864421816519,19.3588093240916,19.3097361313818,
Algeria,,,,,,37.7287796292006,41.105581355388,42.3858892107675,42.2637611932546,42.5314665592893,45.5307274559834,41.3152509438424,48.1279645260841,52.9895553351208,57.6976232003446,50.2129383545519,54.1002318966187,55.2309016328354,53.687345730673,54.5207142860573,57.6517114038472,57.0538226007303,56.1229845075144,55.8096111923133,55.8024677540294,53.5647646263133,48.114244175356,46.4237065317583,45.2924623352504,45.5338837617396,48.1692912243041,53.1584469250768,49.7159362075663,48.638382788144,48.9627455840751,50.4005738229247,51.2304634215915,52.3070873206293,46.1470193372547,48.0004061849303,58.6067174274964,53.4527638385004,53.0886391944039,54.8177400287726,56.3543911600644,61.3104325699746,62.2971037060028,61.2830068264302,62.1185781380443,62.1234620280017,62.1234620280017,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,43.2666613251711,34.1063373876706,41.2841826943367,39.3799324535823,39.0147225461387,40.846947953751,33.3308463115306,53.2135408046862,51.2083391760272,66.9787126842172,66.2568423604475,67.8206759362436,60.757741389497,55.6809402456153,72.7173723137849,72.1229549419033,64.8838115415289,68.1866560992012,67.3965223849146,66.1012866016098,72.596351177039,69.6661824368085,66.566098770757,67.486780025965,59.0462036836041,62.4532846170287,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,15.2857412891437,13.8349514563107,15.7829386065762,18.1146457182858,18.4636118598383,14.6086901683799,14.2427895091836,15.4046356338435,16.5696739248475,19.0922093324241,20.3129097487041,20.8690094826027,22.038461501007,20.1011653760858,20.8671393364152,19.3880377672238,18.1943349886035,18.0328872026645,18.353005779303,17.870930549272,18.1698665370448,18.3071701315231,19.3712035244643,16.0627594696559,14.7774791011978,14.7249459853909,14.9806593750023,15.1820922304792,16.7331220517269,21.3308917222848,20.9677603828506,22.2890700947844,22.0061997139968,18.8362334202673,
Argentina,,,,,,48.4144764100207,49.6049884899836,47.3834143803215,47.036065290757,47.3865568855033,42.2787896353271,45.9550048925472,45.5816489497024,43.3523317321291,43.5928026246958,50.1413236787058,50.8936968312505,47.8061321945753,46.0976480124735,44.0281237958513,41.2196656664301,40.3382267073251,41.1028486443199,41.5563065120102,39.70818793304,39.2761545711593,37.3804348914774,37.8286752699048,38.4866110820983,42.3478130695861,36.0218813478135,32.7225282393898,30.6839548883725,29.2291435735912,28.6365457302035,28.0049013211493,28.4246952406257,29.1464160613133,28.5677389065345,27.8243644442998,27.6086867727733,26.6019185026727,31.983957104247,34.7269954505269,35.6120132794484,35.6090943177237,35.6407577058849,33.7362018117639,32.2777165070308,31.7987756857289,30.9341315249564,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.9559109574238,49.2436305732484,39.400646430579,26.9493772928453,36.9783932295682,31.9866600381682,32.5858267586029,33.1998286591864,30.755112871365,32.196775525638,38.9825393532569,36.406916279466,38.9756128162814,41.9872893818727,41.1206473915956,45.2981777410408,44.6575534072287,43.9088082785996,43.5475314732759,35.8056579817052,35.9618424625556,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
