Gross capital formation (% of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,16.1157099192673,16.5991984028585,19.1057021064179,14.2011895000869,13.888893787654,11.2582790289315,8.4126982114588,5.17928260440312,6.47249174851542,6.46687681493497,5.46379401891615,5.46117111736028,6.54596168608254,7.30769226729783,8.76288656528855,9.76525842722212,13.6521736296529,12.4153493357792,13.8720537624669,,,,,,,,,,,,,,,,,,,,,,,,11.636238841785,16.2197717285562,17.4066184393101,31.2692431327479,34.7140196427061,31.883339708207,16.3281666666667,15.4134453781513,16.2826466916355,
Albania,,,,,,,,,,,,,,,,,,,,,34.5475611032364,35.1210117244911,37.917069245648,36.0739059336833,31.780739087345,32.7521790590628,30.9085682831342,28.4182478435044,28.904043650047,31.7220713468344,29.3053299100521,7.3387588562986,5.19999220535032,13.1999996666731,17.8999995378427,21,20.7020661691496,16.7939312298032,16.2958485994114,19.0541102570341,24.7358683871276,27.5463959344123,24.4870285282477,23.4356843157404,23.8393726033689,23.5964352723336,25.0464482274007,29.757135660653,32.1252125937465,28.9691982113799,25.9281132298535,
Algeria,42.1845772801075,47.1895290150699,35.4206132651306,28.9406623656693,21.84660842018,22.6039435446469,17.3241316416009,23.4344167518144,27.8679222120399,32.3527365549274,36.64906885884,35.2813409565799,34.3024910777215,40.2841957565466,40.0165361387612,45.4068268326989,43.3502757771144,46.9147374797723,52.2193525903703,42.5459265198705,39.0769234336871,36.9905947794276,37.2832375416486,37.5695320976371,35.1644228668718,34.5691694420475,33.5559241423564,27.5563797889162,27.6394833850777,30.0732341179513,28.5894195559753,31.8413280659305,30.7574878567396,29.0909077624076,30.0801428601308,30.9085562438529,25.6784123498588,22.4469741092954,27.1484832462623,28.4944558512584,25.0242849543138,27.3293366134967,31.1874163735247,30.4722755183697,33.2682262751917,31.5108681157488,29.5018796992481,34.2228031583086,33.3686498234176,46.7,41.4,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,17.9640829642692,16.1983938581946,16.0251339028627,11.8180029140304,12.2045442733928,11.713276511529,12.9474753127069,3.61769062732735,11.1933005533436,16.5950396775412,,34.696664125253,25.4678314157207,35.5324886134176,27.1346765056708,15.0530026762286,13.402494056405,12.5693546811162,12.6637956346477,9.11279939797151,8.07289267338728,11.3182214115646,13.7211755271555,15.9847472710646,14.8188406239851,14.5395082500349,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,20.6450529144969,19.296422740092,24.2923107809677,34.7937277071135,41.9342379733605,39.4394162455214,20.4431763596384,23.6103995901639,27.8058080382861,35.6955657308109,45.8020913275068,39.8379424372321,41.2471833087464,32.4410729824827,37.610214516231,34.7914641308908,31.6837724471183,32.4038677568432,33.9803634209911,35.3206915631507,39.2571546092418,43.0464138208502,45.1045454545454,34.9959504982534,27.1782245640989,33.8281037236913,34.3777367159774,34.3589028491039,35.8857473037023,38.0402610072711,43.5275355448688,24.8768831667318,17.7619776218739,,
Argentina,23.479234234893,27.7664470480645,21.7309350089393,18.2728788168286,21.4739126096364,22.4276757473263,20.5425466284622,21.2150357812537,21.6904972947972,23.9906051999126,24.4400952442724,24.1130324157953,23.8915446196954,20.8938115310666,22.2603317850577,29.4410469591571,30.7294395903555,30.9416888037932,27.8001595709449,25.856769461333,25.2577862896002,22.6910887215998,21.7549479464592,20.8877523061467,19.9640924492996,17.5890669180019,17.4617642050861,19.5548660012086,18.6400388971926,15.5146982752804,13.9969815756662,14.6369774112053,16.7024057741819,19.0564341074316,19.9389777996254,17.9377365544616,18.0821802063405,19.3701311038268,19.9349541497592,18.0140222938372,16.1926495495901,14.1791198580776,11.9606420420017,15.137513213875,19.1671242346731,21.4559367182189,23.3539988581894,24.2009503504714,23.2857738055579,20.9206228407807,22.0022475152109,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.1476843569867,39.7791441837119,1.6312581769234,9.87220269199894,23.4501370785411,18.4244899669896,20.0062301465649,19.065563132874,19.1362639283337,18.352317733991,18.6435818392471,19.7579627389536,21.6670922412554,24.2579306822355,24.8783586783982,30.4663212389031,35.906131406724,37.7825666626255,40.8711428609543,34.6697134723112,33.368579697192,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,31.0324272770625,32.5649551935975,27.8477485510477,30.2293223396032,30.117559246128,32.9601777473936,32.0813008130081,32.3909236830585,32.4793865155577,33.1265320945435,32.4953670131335,31.6281695672451,29.98309307706,27.9536956002864,30.093436458282,26.4378052683578,26.0437848572414,26.5993543795959,25.4343884565989,27.3902909701511,26.5450473018773,28.1726779652199,29.3435488053761,24.8435659117686,26.1675301283123,27.2251353001874,27.8535313093413,26.8437111223859,27.6007041587469,29.1086095925457,28.5036298730096,23.8142219489585,21.9148487969291,23.1871678267871,23.932556599127,25.5773215483328,24.0357538958964,24.1200917014481,25.1311051376984,25.8549993096428,26.0993356532743,23.1741567090175,24.0211164805514,25.7324425777204,26.9024386579465,27.1533072048374,27.876258188209,28.3674091933828,29.7525595830452,28.25855752003,28.0079733681409,
Austria,,,,,,,,,,,29.4980326892671,29.4916399316225,30.4105963428764,30.6442370207477,30.9102437783058,25.8110036318206,27.0970324214069,28.2500347793343,24.6736481260714,27.806013075664,27.5496330016394,25.1383308461693,22.9986483770984,21.7446265762071,22.5382844961644,23.0418307371223,22.4308318841826,22.6866133119187,24.071418295848,24.8934287564372,25.0534771267531,25.366797577944,24.6570514580345,23.7775796938831,24.4042187732153,25.3583003222778,24.9249825816967,25.0500579242295,24.8679099372447,24.8760960500485,24.529281867029,23.9278595452177,22.1406443031433,23.1220420413064,22.7636419287759,22.7106877577556,22.3256771337045,23.1323998695729,22.796146494652,21.0288602449809,21.6418324576029,
