Tax revenue (% of GDP),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,,,,,,,,,,,,,6.290690583393,5.28802168696701,5.2259786876174,7.26642106852521,8.31380678043414,
Albania,,,,,,13.4227682132808,9.40997906859071,10.185762287451,13.5980485427755,,,,16.1089182573328,17.0719284201438,17.2917603914058,,,,,,,
Algeria,,,,,,,,,,,,,,,,,40.7007753759398,37.2034303567444,45.2558181653536,34.9118340053636,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,,9.81895378706002,12.5187846482703,14.1974328834626,,,,,,,
Armenia,,,,,,,,,,,,,,13.9997870190166,13.9964056466186,14.3356634088462,14.3959865593942,15.962531729107,17.3217587321083,16.5058632327843,16.868060408759,
Aruba,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,22.3768836314713,22.9847396092255,24.6870234822314,23.380296906043,24.2242257177707,24.2190019080727,24.7319058726511,24.4865393832881,23.9987248461708,24.0912004317979,22.1470617992879,,
Austria,,,,,,17.8118304930897,18.8886506056107,19.9958857637721,20.1874152326469,20.0915108397978,19.7920463710339,21.5196505012259,20.9647772044891,21.0720363252037,20.7886673401565,20.0894650732598,19.6800212042816,19.9765871645346,20.1083025777546,18.6865694256472,,
Azerbaijan,,,,,,,,,,,,,,,,,,,15.8537753281245,,,
Bahamas,13.8629185091598,13.6379999742861,15.4326149887424,15.3945666235446,16.7167842896594,17.3461650627005,17.0490440565254,13.2684581845346,12.7288679382029,13.1771044782268,13.6302475270057,12.5846849861992,11.4864107424034,11.8558413726126,12.0343007941601,12.7661518186214,14.3573330681928,14.4984202420581,15.4838901499913,14.4730980103618,14.4000436275248,
Bahrain,5.18737424547284,5.0411938476224,5.39072995969548,5.34956281449701,5.1734019627889,4.79676289305848,5.04293269586433,5.09780903556752,5.66427242645189,5.01305502360043,4.2443857294334,4.6457802227291,4.04372611664474,3.75716234652115,4.93549532489052,1.3784109545733,1.36111250901649,1.34702045870107,,,,
Bangladesh,,,,,,,,,,,,7.59654090927736,7.69752270306478,8.07147479157802,8.11135013609207,8.22066985516864,8.17180157983142,8.04930133092221,8.81827075986621,8.59914054306214,,
Barbados,,,,,,,,,,,,,,,,,,35.5908036049513,33.152481609347,,,
Belarus,,,20.4434829637642,26.6309422319652,24.7499044578828,19.8877124542638,18.7997552116564,20.7345853025692,17.1123265017102,16.6724778463851,16.6247345026167,15.7546642442876,14.2010383230738,17.6881219095961,18.3713469008917,20.1496562779039,22.2230966228065,23.7266987288672,25.3533892055523,19.2596284110703,17.0728128828156,
Belgium,,,,,,25.4309783777541,25.9298816306919,26.481770303019,27.0991492902803,27.078630610886,27.3278359088074,26.9439818077613,25.9372361510478,25.3149540411806,25.8927035782982,26.0145350221909,25.7245596914938,25.053276060575,25.3648266937779,23.9449103048905,24.6101403164704,
Belize,21.4061259956374,20.7109753422456,19.9392570612646,19.525344378377,19.9196669738065,18.7562162583319,19.5422738363756,19.210082686813,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,15.4670808212335,15.6816667789135,15.6647359418734,16.3498752577869,15.472014698386,15.9577425931012,,17.2479350202165,16.1497400772397,16.1877511262632,
Bermuda,,,,,,,,,,,,,,,,,,,,,,
Bhutan,4.70424747159497,5.08430265872902,5.31313328542206,6.45223597327204,6.33564401149562,6.99424955286342,7.91689674659877,6.97944957832902,8.49229742666832,7.4102800840931,10.2836156545731,8.91445175615298,9.79207881847941,9.53431010856962,7.82035160620106,8.34658466275847,9.03097340781244,7.51948277779463,8.42071613824162,9.23514990159008,,
Bolivia,,,,,,,,,,,,,13.1841049699931,12.9730003175784,15.0163487981632,16.2151641091835,16.8161681629038,16.9648657303097,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,19.7627739987846,19.0310136301377,20.7348247169179,22.7699880786283,22.1501731093547,20.9606403609237,19.5733985785286,20.3926990731673,
Botswana,27.5016129375315,25.557193488693,27.8455400724745,23.6845760088885,19.5458125474337,16.6155553081201,15.086220986068,,,,,,,,,,,,,,,
Brazil,12.0091242848293,9.52972660096524,9.73379589010628,10.5001503337974,11.8960101028903,,,10.3360112523423,12.2339362924003,13.4484707369319,14.0038766351231,14.7120488362669,15.8367203322168,15.4058211269553,15.8846447436013,16.7086790166633,16.4553309090776,16.8093503481105,16.7185702251176,15.6402086958771,,
Brunei,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,23.8331295204348,22.3338246131172,16.9033864541833,15.2137838742054,21.2389649923896,20.0680856789631,19.3617446237345,18.5232181674284,18.113537014805,17.525732856743,17.8799899402142,17.1136674636676,16.3862241645928,18.2270150240988,21.2792743746461,21.610561538779,22.5021458833249,23.1300915752233,23.2696960847214,21.0152688146547,,
Burkina Faso,,,,,,,,,,,,,10.5884908197502,10.9229978619798,12.0268157837157,11.8291957493014,12.2172434066673,12.6937065260237,12.3416894023036,12.8662535002601,12.9506723182201,
Burundi,,15.142662979358,15.122783962513,14.9289163086995,15.6160547705857,16.6782065773911,13.4389965792474,11.4203617269545,14.3476586706647,13.5974418093983,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,8.17291193041795,7.53784443444623,8.11726502340037,7.89324276816088,8.17891487617308,9.69697926494016,10.5551963609478,9.66870176824224,10.1213791524626,
Cameroon,9.76735861966012,8.9051552447804,9.75370088628914,8.35786231651996,7.27976428286057,8.60129114304134,,,11.1450313215774,11.1980825234458,,,,,,,,,,,,
Canada,,14.7091995967124,14.6486694837826,13.9990703865872,13.3942945206279,13.6181465056649,14.2393507188743,14.9374725993024,15.0532310789499,15.063907145569,15.2406191103841,14.6239152094494,13.8217806324025,13.6538421909452,13.7795470777888,13.7311705468958,13.7499525994464,13.7098266266298,12.7856242102808,12.4020183324231,11.9319860544821,
Cape Verde,,,,,,,,,,,,,,,,21.0769713606117,22.7444438575378,23.7764869186589,24.5612884404758,19.9475082481803,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,,,,,,,,,,,,,,,6.21422340399183,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,16.721914127157,16.5974714879971,16.7969640040303,16.3054622670901,17.01228763898,18.7437883357297,20.5561884490952,21.402066861405,19.686960468257,15.5640939256681,17.8304362688868,
China,3.93243981615402,3.60948511351376,3.2518060430479,2.49675241057455,5.55086424927227,5.018776616656,4.70407409176611,5.32928975725881,5.66052937134191,6.18620159015132,6.81563311769763,7.40202210801349,8.50340163369074,8.5389962194553,8.8605515151152,8.67959444151063,9.1880603469322,9.92881656740578,10.2686609093658,10.5397293319685,,
