Trade balance (% of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,-2.89256021310031,-3.6437231039355,-4.4715420207549,-7.69230914883917,-9.16666258962986,-10.1545245429976,-9.99999983746031,-7.43691861145063,-6.310679869042,-4.88959019068753,-2.16010545938704,-5.21845300858511,-3.34261855125271,-1.79487252197242,-0.824742289807632,-1.59624392561264,-1.65217412829641,-3.16027117430067,-3.03030344821956,,,,,,,,,,,,,,,,,,,,,,,,-31.0425184315557,-48.9009983976025,-47.3050497197069,-46.0628764503488,-43.5150216473455,-40.9778457447847,-32.0853333333333,-42.8887843137255,-38.0750861423221,
Albania,,,,,,,,,,,,,,,,,,,,,0.40610055682719,1.46767971716117,-4.50253771760155,-2.61241391226847,-1.96426426096755,-2.21431580335726,-0.410004827344415,-0.096214042778072,-2.83572530573848,-2.77822421593096,-8.32689006510467,-20.3672270430389,-77.0218103608669,-46.8700223583954,-27.5986374469315,-22.0366734935461,-22.9142709875023,-26.2671243621938,-23.6121038375719,-14.7418125019603,-18.3542682855381,-18.190548553826,-26.297294126661,-25.254841437502,-21.7643831379598,-24.0530521209351,-24.0606133218166,-26.1875538746456,-26.6079590894008,-25.6444833635773,-21.9804244414013,
Algeria,-28.1004595287194,-21.2592137058405,-1.02477444801164,-12.1408326232871,-4.35570384918156,-3.22913479209241,1.33262551089237,1.80264744244726,-1.05161975690993,-4.28198105613753,-7.07993482297609,-9.22125854183075,-5.27730631964947,-6.08610066316201,3.25926805484397,-9.27666304471005,-4.06408904770889,-11.1537503623069,-14.6328953984717,-1.71744892473703,3.99999979835077,3.70950791589444,1.92678135361835,2.13949486242067,-1.7563513101812,-3.15825486393294,-10.3171958689346,-4.1396350067925,-7.09585150574345,-9.87479303249993,-1.49334352100943,5.51805763241435,1.45010432803312,-1.35505937921333,-3.52298729563885,-2.80145324908888,5.81574877506331,9.56871125226896,0.062257461240337,3.12496129405324,19.8211142928781,14.6463486197757,9.67617856675783,14.3921907048752,14.4197618245054,23.3764501933591,27.0911654135338,23.3164365947227,23.3650276193063,4.46855295171022,9.33372643715411,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,10.3827337729399,6.41541597644506,3.30461924726769,10.8869024343376,14.6812552389615,17.9840657645215,3.21010822715153,-1.93872222698354,-1.2549852619105,9.50751480035269,,14.1069508375086,0.419296464977152,-16.2691430672417,-6.40098140367188,26.7965411172325,1.68306206971662,11.3364969645292,6.5564980750729,15.9710984808809,29.8443648933786,37.7637612897708,30.4429243272407,25.091613393382,6.00230400577486,13.4929311003432,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,-4.92748754129571,3.55252090445797,6.3320618349729,-19.3720977185544,-22.3508417128804,-39.3132272961268,-15.1245713409053,-10.2608469945355,-17.5953612066753,-21.648690203639,-23.8209112064953,-11.5519272154667,-9.75906827468524,1.97968143467898,-0.591129977551339,2.80904488882674,5.50601978509416,1.53306315914208,-10.3050310052005,-22.8968414682399,-6.03602465071078,-3.87432060449093,-8.66647727272727,-3.93835852137989,-5.19517712429544,-5.65836025066294,-8.32125885082588,-9.23175087308655,-16.9799147102049,-26.3065245136261,-28.2832128593526,-24.2565361137454,-17.4899558604448,-9.73942453268447,
Argentina,0.000002124546226,0.000001674968405,-4.69184012336329,0.000002204566875,0.000001554483786,2.07529148119072,1.66322934623743,2.49853207356435,1.08074204173079,0,0.865689269485015,-0.600723153812144,0.359888479613084,1.90316693031242,0.61356173690666,-0.154620697411119,3.25389196868264,2.28949825749739,2.89298350379586,0.181146292373477,-1.42172709852936,-0.450878518224491,2.56950005720169,3.31537126678236,2.83340919435594,5.46277097078228,1.83792229645136,0.297441743848656,3.31976733716303,6.47902011524435,5.72821418510863,1.59703250244676,-1.53460564917545,-2.40444821788087,-3.07821674793329,-0.426498074546372,-0.669557754418943,-2.24401609135779,-2.54659422482073,-1.74610147361968,-0.633805851582056,1.31843803022278,14.8896620037615,10.7695881995596,7.09021847826143,5.87921246129042,5.52727863073168,4.28942090990253,3.82498763928873,5.34882298737437,3.30626920628349,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.329755515802,-19.375078428912,-21.4352482576357,-13.5351942121707,-33.7727507374179,-38.2590120534662,-32.7495559877648,-38.00120474094,-33.8364121240624,-29.0438996774118,-27.1680107293601,-20.6804148189674,-17.2303175177877,-17.8823565329164,-15.5675524048015,-14.4204848326989,-15.8912213276325,-19.9651704892611,-25.6086551205422,-27.5299325100083,-24.1973398847819,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-60.0896967621657,-20.6876344988345,-17.2769496102502,-6.59193074270532,-18.8663228426396,-21.8623366808182,-25.5288098950811,-21.2344919688049,,,,,,,,,,,,,
Australia,-1.05507868383405,-2.59257171842417,1.29848417298261,-0.81937644936872,1.16159731293152,-2.02529482139805,-2.17479674796748,-0.999562235517292,-2.1648400122154,-1.36488817601307,-0.241721053903795,-0.272466187191635,0.785282078661684,3.03922348635532,-0.116590308225364,-0.487037835882165,0.107024365880632,-0.656965171563825,-0.988705900128428,-1.07933802828668,0.478176298959653,-1.85216497795351,-3.31833711057741,-2.07252258148972,-1.47438397118081,-2.07509423631731,-3.10004804502505,-1.64441448141172,-0.699582325249339,-1.89642635930305,-1.99979908904031,-0.203279641770273,0.121009268795057,-0.512073652963046,-0.54985648533433,-2.02019999799802,-0.406413895520424,0.305254235469576,-0.802691416882217,-2.30659564015374,-2.04636868983595,0.213282476559381,0.080102446813556,-2.02919201602465,-2.54694771926945,-2.51401321392373,-1.53319220322735,-1.23768702485176,-2.09590635383811,0.607214072835416,-0.309547882628658,
