CO2 emissions (kg per 2005 PPP $ of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02301330166322,0.03266133508837,0.036038514724004,0.031306457615237,0.028009153539401,0.02586674659971,0.02847997691383,,,
Albania,,,,,,,,,,,,,,,,,,,,,0.456299371607407,0.612678133298636,0.592454734780554,0.611853695813812,0.635389216961802,0.62866118434108,0.608405636554035,0.566623153048343,0.565724677345425,0.631580691978517,0.58214752509008,0.438495607829762,0.284033655611384,0.254377748348517,0.193346158704405,0.184600197166254,0.163552742715178,0.139412239188101,0.140450337603905,0.217769839295556,0.205441367498731,0.204785866767421,0.231091691351567,0.250045804473767,0.220374017162905,0.240065093432153,0.210233441715579,0.210218647277227,0.181931563587982,,,
Algeria,,,,,,,,,,,,,,,,,,,,,0.556157425521095,0.376959029858474,0.299592214305071,0.380910676348504,0.487365616124618,0.481101780233131,0.502167762629357,0.557710433566707,0.562189711724776,0.513468160256297,0.50206563171445,0.524673305424178,0.520477271760863,0.533016299973108,0.563134431772849,0.594932122361539,0.582809780580789,0.526492250575159,0.608210394707298,0.507006274152219,0.473539901094143,0.442446197402572,0.455473026166148,0.433950164041506,0.39894850529572,0.454387464972538,0.446209848354549,0.455168729637782,0.438833310379978,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,0.162064350157727,0.156297453706872,0.180754072329333,0.150986703726701,0.146837836139839,0.130244397950018,0.129971142081192,0.14124482329234,0.246261769462655,0.159575256295082,0.409106543128347,0.35050495664114,0.228559162648048,0.21187101300112,0.257119866271484,0.260097539059797,0.257213917022246,0.292379043376555,0.202552333946477,0.377698289280843,0.319197390008659,0.312923013920581,0.288085886031741,0.245289667081024,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,0.277777155710523,0.198448170544173,0.546528880205003,0.150104577495042,0.237852235293323,0.374430623363082,0.332179329489811,0.338410789020514,0.333846711900782,0.315625994325414,0.323576589022058,0.309384059357561,0.306781984487454,0.305646428788524,0.290879324215818,0.314272247926295,0.294429022916469,0.29347349890179,0.278028966733601,0.278760607960709,0.271801923637196,0.265920711901311,0.273172806128182,0.278371903706233,0.27234629986884,0.26375395650671,0.241155524557975,0.22357094703528,0.227551063429422,,,
Argentina,,,,,,,,,,,,,,,,,,,,,0.383645723645542,0.381740461049781,0.407092584265448,0.398686705923742,0.39491278598175,0.403560569202761,0.387543329602609,0.415357636108877,0.450476201546214,0.469413690819087,0.462560559701143,0.426614517117445,0.3955218800236,0.364733889353363,0.358397430501854,0.3664915386322,0.366200925766594,0.353039719448942,0.347513280894518,0.380106500750897,0.371512382998446,0.386980372555108,0.406268939078445,0.404365252959833,0.403837967128447,0.379249612507937,0.386178946395984,0.372025788739014,0.364881581650156,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.687933047191573,0.600294542693107,0.576667551924442,0.63479901345126,0.447831718085933,0.544996648849234,0.527803547707444,0.458693219335667,0.490785946055854,0.457929609345591,0.343013833801385,0.3433832511924,0.330459325596582,0.346276766590225,0.307967029546198,0.312691305067358,0.320931807234749,,,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
