GDP per capita growth (annual %),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1213722877872,6.37821635860891,11.3131937810729,8.12568015504118,8.07216702401621,0.553041729512344,17.0849731550608,5.22108965356422,
Albania,,,,,,,,,,,,,,,,,,,,,,3.66066400112271,1.00040312865082,-0.826340047164649,-3.27786599574485,-0.504076637365202,2.9904554471309,-3.41829447217589,-3.85286977660344,7.77854259077053,-10.4999278980923,-29.6363134596943,-6.49804544437498,11.0301794690755,9.84845086024531,14.6829293031553,10.0991324780455,-9.59894279398522,13.170889274796,10.3261677175797,7.33035418977982,6.80800083707615,2.4870382920715,5.1242248932227,5.28456654551999,4.93119724361814,4.50746640300812,5.46372607199814,7.30283598683221,2.9335492305471,3.1035352574098,
Algeria,,-15.227470009398,-21.1409191871479,31.8322840224564,3.71388956130446,3.81876226298385,-7.19344525406015,6.4688730599733,7.60527527531683,5.23484062694415,5.63731363434343,-13.9587643843706,23.6296119561913,0.697809411406297,4.22823395479106,1.8053703231455,5.00975521896505,1.95995923173457,5.76611499569215,4.04953435026184,-2.45490624573367,-0.344035152853294,2.94138750314548,2.01344357621562,2.29743675113399,0.578302479989375,-2.49113022418274,-3.4371179388378,-3.6228184094761,1.72160785872842,-1.71443111221873,-3.60566196533347,-0.604934510614626,-4.30495298275109,-2.97541938782905,1.81691735747029,2.30900805300122,-0.476719254619056,3.5742527428047,1.74172726373204,0.744621470994716,1.11512697795406,3.16944315549937,5.32024396078089,3.63289096229387,3.52645762267856,0.461979493622948,1.43661572723074,0.849120722220832,0.870189442293935,1.79182232998758,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,-0.620526466900188,2.77771144620434,2.61893715049055,0.883586246384254,-3.61039397017923,-0.515968713796482,-0.631713830875583,-1.9346163280301,-3.65478338338332,-2.10381865223003,-4.96468647796414,-4.0470232436984,-3.46812051386151,-2.8165807455056,-1.37313322260817,0.623866856842454,3.73271160997861,3.562971310565,2.77103672898482,0.768619998846475,-1.59902371403832,-3.9122140808435,-5.76703777544027,-1.57677017499869,0.235369980983862,3.80262245679373,9.60876927279742,4.25330312942003,4.52370973558168,0.149965734972454,8.81397512646274,1.80604739403141,2.08222698058414,2.11606471881345,2.38762990976997,4.13469300102361,-0.46116497109719,2.08196349542023,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03381332360793,5.18922969809293,3.04737068965466,-2.12570858766718,-3.02507138812642,-4.15340499356304,-9.85637013299203,-27.1423375469915,0.228232489934172,7.09719444812737,8.09583251858552,5.03628313796878,3.99180026372075,0.387397222671737,-0.056145764335042,-0.168950875743562,10.6289800832194,-0.238981014132378,7.43768483725671,16.7249987856882,14.9295310631075,19.0943338419104,10.5660685762539,-2.14700182140261,2.95953639388496,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,3.84143114967625,7.35574600797204,9.05432343946855,4.96405310191601,1.38439722091451,6.2394851376441,11.5488137386332,9.77934326986629,14.5969447543395,10.0172723964942,6.8365326336949,6.58413894220955,2.52861602218309,1.13890079579816,-0.808330121146085,3.07028574479939,3.6938723809273,-6.61560786603836,4.00024100785075,2.17095500397799,1.77883272832182,1.66193201584903,-0.703034561116254,0.263338604446474,0.814178252975381,3.51642830002868,5.58410150206274,2.84954404812079,11.89557198864,9.38917518330437,-0.36896622632797,-12.1858683255676,-5.41110448707816,
Argentina,,3.7401272456502,-2.41771874376471,-6.77808887052291,8.4590167404903,8.93221276088632,-2.08858827865501,1.73966391812435,3.34425304831613,8.08277831090665,1.47144409290591,3.95575369779762,-0.076352985251887,1.0579939111328,3.75696460897727,-1.65600803535915,-3.54935065221728,5.3183154034826,-5.91852333436782,8.59674766291307,2.5996067374426,-7.11111132033059,-6.39751294083295,2.29867730444782,0.667405282186124,-8.97039089772797,6.2766223618812,1.40001705669191,-3.96755290267203,-8.81257491844096,-3.76021547562492,11.1337784587533,10.4507552602611,4.52936428550646,4.48845718814465,-4.05718741015865,4.23492730147481,6.81602428731496,2.6439327930361,-4.45994497313748,-1.83583890835997,-5.36061482144193,-11.7350226147629,7.85206648528609,8.06406125172241,8.21817074483523,7.51360116567974,7.70332276658445,5.82771195212517,-0.026220466682346,8.21676629369786,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.8792628917619,-40.7521990101532,-6.64696988547586,7.95715098549248,9.13429740160639,7.5670244092945,4.55206562477063,8.18815561154173,3.91756917049764,6.40008270217636,9.92428291092095,13.361678144979,14.0599101991266,10.3936101890222,13.7415935357591,13.0545629244336,13.5887266028688,6.72967308166351,-14.3139535365763,1.86453581894762,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.4558606557286,9.07741566031524,9.9824770171802,-0.013678736005829,-1.55208324014269,-2.14383063894647,0.216012550270676,6.31008252575226,-2.1195058851917,5.13336450071293,4.64103229693134,-0.680802348671534,1.58128818634142,-2.942210251049,-4.87794190181438,-0.820870863655543,,,,,,,,
Australia,,0.488056506468297,-1.07732032908804,4.24112012552416,4.89896774646192,3.941979223898,0.059973392063,4.93822216446822,3.30420426611326,4.8298184385557,5.06791971479521,0.561839213747533,2.03825311782457,1.06693661036881,1.46469685241961,0.006017116503386,1.60940907395958,2.32427755048634,-0.258270159365864,2.99448068485052,1.79551785662342,1.77985837709494,1.52077219665078,-3.53396376438879,3.4208806332483,3.70286996314427,2.85191940578171,1.00543621106348,4.15402637060424,2.19537177224957,2.05316289251658,-1.50272607491544,-0.7574715441161,3.07263550269387,2.87145044792479,2.69192131834922,2.82162052918602,2.81576366118885,3.50116317733622,3.96523487798881,2.71932808927566,0.70456234374798,2.64328744841971,2.00571838025074,2.9552350943459,1.60922457800055,1.57187040068101,1.7231462463015,1.77459822832982,-0.646062416842483,0.66431707461723,
Austria,,4.96071718349165,2.02146966677641,3.47146615932405,5.41933601415174,2.81001278561557,4.90447900377771,2.24100975848387,3.9312418288781,5.90949592643402,6.44811850992708,4.64694282266052,5.59238140502939,4.3109059002006,3.76537309985451,-0.099030343587486,4.76336981335892,4.96832501066777,-0.065246565781862,5.63603346810038,1.78356198769984,-0.398503912402475,1.8739121315572,3.11932216038269,0.066977009024399,2.40818188542862,2.25161968741084,1.2822693539495,2.72343515595746,3.27525643446791,3.38007888844918,2.31164118303128,0.772613269108618,-0.449983032296032,1.82029888121207,2.63909728983676,2.32838699988839,2.19304354816626,3.67172302367422,3.33787465761381,3.41860233980718,0.47205909131776,1.19464528483944,0.37576264484116,1.95507095650538,1.70542064204871,3.15810143319304,3.3043200113062,0.956632579095128,-4.13593811023668,2.01315488060378,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.22958327602804,-23.7638309401246,-24.2593995997332,-20.7781361063578,-12.8099674690956,0.282171840783207,4.78428220584952,8.9608871477316,6.46158278788637,10.191030117039,9.05182217181184,9.77780333947224,10.3606757265518,9.23948955637151,25.1144384134607,33.0304877689447,23.6391331092026,8.49761964534312,7.05416405925267,3.76193008614978,
Bahamas,,5.29775634804616,4.99915162000531,5.09940485029298,5.23801262858619,5.41610606541451,4.36566352290646,5.11431858441777,4.30684376420717,5.25368850990593,-8.49296754832122,-1.0083272536918,-5.65366874411897,5.40957807220408,-18.3738003512991,-16.5077835154152,2.99570171825663,6.8260621622066,11.6950144010313,23.3738944274574,4.16411587176191,-11.2203638565546,4.34480454746777,1.34407105267498,11.7794558089948,2.74915976532715,-0.092507465154085,1.18636708166645,0.584070144084265,4.9199215979778,-3.30861774553291,-5.91451565113401,-5.60460011075777,-1.52270235155795,1.37937158078036,2.75658877029987,2.78955975188187,0.804305152610169,3.5077535698365,5.89880191890266,2.86754840593019,1.27988348438257,1.2957200557113,-2.66524019016107,-0.571675032864846,1.89984600203519,1.02750860176151,-0.032631816401533,-2.75418754629433,-6.67860367778165,-0.416372733203787,
Bahrain,,,,,,,,,,,,,,,,,,,,,,-8.90911122976392,-10.3770915298566,3.57530866972854,2.23738028180863,-7.52234680883247,-2.08514629786268,6.61372418183217,3.28611817995383,-2.95581032638348,1.28170434002064,8.20187255113214,4.01892811590908,10.1845950269658,-2.62188703024562,1.37574921688397,1.24066660319184,-0.048890579720435,1.661064926808,1.71598540000051,3.4144066050721,3.89719661950787,5.33213294500601,6.35620028308126,1.73353340478744,-0.089640414620718,-4.68825020643079,-5.03940185777108,-6.49063874590328,,,
Bangladesh,,3.11608086675457,2.57508492348076,-3.19152243095958,7.79308535873385,-1.41897635231805,-0.680284247571649,-5.09075374706158,6.05104253436022,-1.51726288795139,3.39839321342812,-6.82821324208807,-14.7434168442957,2.61892678401654,8.59297011148598,-5.46701305444978,3.50314926481583,0.08691214983547,4.04654572299836,1.75642805693576,-2.03405964330238,0.972624055893334,-0.355907932452965,1.27664345374367,2.40722635196995,0.477071242674526,1.45407373406212,0.960026195130808,-0.529006833609372,-0.005186047900011,3.35014723094341,0.929907734210019,2.69792674200522,2.32785754324496,1.90135304282273,2.75671423200382,2.49188037616122,3.28469849098778,3.17619935303904,2.88132456689674,4.0009027047295,3.39718822752093,2.6097749272451,3.52247294173313,4.64644843199915,4.48243438264649,5.30683708058277,5.24251345194362,5.07983147975466,4.62510253861046,4.8838566992514,
Barbados,,7.35098789100881,8.63106418233428,-5.48738357672281,4.57537040157192,11.0483494872949,3.7207821548435,10.3876712344163,6.6822360165193,7.20940876023963,9.07979776223071,3.37201806274754,0.642688379487311,0.67162797106208,-5.22972442082353,3.49157184533881,-0.437982543518501,4.12163148990612,5.93451976003298,7.44430828639555,4.43912365698087,-3.56321974321649,-5.4230680737534,-0.300420728150144,2.86084162119533,0.045070737059149,8.9545010654662,0.599482407265526,5.82973631807965,4.64641740650657,-5.14170925654366,-3.22902823380889,-5.2644382997738,0.699588471878883,3.67710853164078,1.18999631387497,1.51761120498797,6.05317294174344,3.77842537802786,2.27844567941928,2.02378332832713,-5.29513583000438,-3.76828966302965,1.7898803380545,3.47152298741882,2.97035324886097,3.20594446891521,0.272005065784043,-0.026852660966085,-5.49790653088118,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.24845987835901,-9.79467501957747,-7.80755933196606,-11.5963919037841,-10.1099470276634,3.14401574803162,11.8734802807156,8.91675439467672,3.75033383158939,6.1172413793104,5.0902063518209,5.52429548968043,7.59642420512314,12.011263291119,9.98810814869195,10.4850123878183,8.98886823858007,11.3964259450364,1.16443300680422,7.80313788005014,
Belgium,,4.63025713410769,4.7940345176653,3.57435354080013,5.94913935630466,2.62444466112093,2.46146245343748,3.29157574176955,3.78504436430822,6.32828364655917,5.66836159951518,3.79648880364074,4.88408790254307,6.04748883562614,4.23677760245471,-2.24882966204576,5.46413996468287,0.501978664191839,2.74598987741095,2.24912759496436,4.32900844136776,-0.27665379534676,0.622329242147572,0.319812290650987,2.4679214161675,1.62151891916467,1.78646995222793,2.21947797914119,4.3907950295964,3.09399895624784,2.83026811459102,1.45537174604875,1.11956572694166,-1.34799949155277,2.90931871309397,2.1705502162296,1.22650117788017,3.48433543073942,1.71148702871204,3.3027247066488,3.41855088906287,0.461613671611644,0.906348460829193,0.385622800602945,2.82332979261224,1.173570046989,2.02683343202762,2.146982252402,0.162416800602941,-3.61940892665395,1.33161635480583,
Belize,,1.33516795781783,1.21034109852995,1.30288021342122,1.58488182522247,1.87141194251295,2.01767924576774,2.42327391284832,5.09159183934158,3.13952699409373,3.08087387315157,2.46558655858551,8.88270516650047,4.12122705678166,11.9879404088911,1.77941274728228,-2.11749613371727,3.91489862881991,5.06464692395785,4.62472318381877,12.1391858210242,-1.33996528463032,-2.84696775983954,-4.06255796233985,-1.18698561825718,-1.49788006117134,1.99671322641144,8.16878054017134,6.44285984919597,10.991992821238,7.23362455387813,7.64918315246754,9.22078857851886,3.16603200570846,-2.69015519550713,-1.91280757429949,-1.08415110725164,-0.056387821893722,0.043688381358777,6.7219983044792,10.0069029328153,1.89779239711537,1.96797789460447,5.92628376638382,1.32569700891587,-0.220322864214197,1.32441238296164,-1.95002762386594,0.17850008744405,-3.28251819158905,-0.621525542746795,
Benin,,1.81666949189744,-4.75246409193937,3.20703513978444,5.02248546014812,3.61611347620101,1.86075972224728,-0.659665823745186,1.98408536529169,0.955360757853214,0.104321928432441,-3.50181087366985,4.17708099362295,1.43694541587172,1.00570044251569,-7.10552675999897,-1.52294114312163,2.41689358625523,-1.27553522391209,3.82024858197173,4.01176782812097,7.04586627333922,-0.518445654083479,-6.95070951245334,4.9891087660356,4.60858519105598,-0.574845235530248,-4.13512971357622,0.580459969735614,-5.64542742764307,0.057351283210451,1.30666468267331,0.461941213524682,-0.046255328551311,0.889284526439525,1.31083668186946,2.45015376104472,3.20355317727238,1.71071052740007,1.80635177620607,2.74287848218957,1.82052320840333,1.23684564034082,0.608381870364966,-0.147266370504951,-0.278112533579488,0.953209158735973,1.4943781954258,2.03847092740766,0.83397058582473,0.111007118643712,
Bermuda,,2.14927472527471,2.00396995708152,-1.26075471698113,8.38337423312885,2.25077844311379,12.3454545454545,11.0966735966736,0.178748758689167,1.52093674430445,4.37934158864391,4.1952838827839,2.56407397910836,2.23820502355134,1.63282738681913,4.55127153404426,8.5290040744319,5.50081628733314,1.07422933757364,1.76823912484142,7.5441329179647,1.6281512605042,-5.97675961790714,1.26973343685302,-0.241487335295872,-2.70345943255353,4.97949619215,2.13451557093424,2.46081429636776,-1.07292538187168,-1.46867681266423,-4.32508517914386,-0.059737156511346,3.00856744371387,0.107282256461374,3.72233004187888,2.45773241841675,4.45447452122947,3.75544840110651,3.23881688370122,9.16506732220283,5.95920423638287,-1.97390242021287,2.99879566498005,2.14141457640839,1.57499821820512,5.24014588773002,2.61027772247155,0.619184258661278,-5.12162333303479,-2.20333352934719,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,5.53789002128764,4.78780130972925,4.90454889466247,1.45709274406514,4.54649963696838,16.1663710361942,11.5081492269376,3.84419315060221,8.05401403641501,5.41566243418995,3.83760583270578,5.60086257647201,5.58263272583099,7.02526523401916,5.79719333561137,3.86167892552309,3.17019490564047,4.00492001015769,4.52743397751018,3.93272526187214,5.68588447080501,5.37794482873008,4.94633075065734,5.98635496039539,4.4123572845008,15.5451840449372,2.76174680957206,4.88862319884385,5.61793309262227,
